Feature,Importance,Percentage,Cumulative_Percentage
Low,0.6141026159605362,61.410261596053616,61.410261596053616
High,0.3605474205794157,36.05474205794157,97.46500365399518
Open,0.010515802538454718,1.0515802538454717,98.51658390784065
EMA_5,0.009814857871257594,0.9814857871257594,99.49806969496642
SMA_5,0.0017027649865414558,0.17027649865414557,99.66834619362056
Daily_Return,0.0015962379287147081,0.15962379287147083,99.82796998649204
Volume,0.0002279793329689664,0.02279793329689664,99.85076791978894
MACD,0.00021858145128612856,0.021858145128612855,99.87262606491755
Volume_MA,0.00020678367983530127,0.02067836798353013,99.89330443290109
RSI,0.00016057039532159725,0.016057039532159725,99.90936147243325
HL_Range,0.00014811730318301176,0.014811730318301176,99.92417320275155
MACD_Histogram,0.00013550082241994854,0.013550082241994853,99.93772328499354
MACD_Signal,0.00012838360819502438,0.012838360819502438,99.95056164581304
SMA_10,9.088841367454815e-05,0.009088841367454815,99.9596504871805
EMA_10,8.814262145471623e-05,0.008814262145471622,99.96846474932597
BB_Lower,7.791649368703132e-05,0.007791649368703133,99.97625639869467
BB_Upper,7.042232573976945e-05,0.007042232573976945,99.98329863126865
SMA_20,6.735062069296325e-05,0.006735062069296325,99.99003369333795
EMA_20,5.894919418267762e-05,0.005894919418267763,99.99592861275622
BB_Middle,4.0713872438032524e-05,0.004071387243803253,100.00000000000001
