Feature,Importance,Percentage,Cumulative_Percentage
High,0.735692986226925,73.5692986226925,73.5692986226925
Low,0.26225325622327383,26.225325622327382,99.79462424501989
Daily_Return,0.0006640217194082311,0.06640217194082311,99.86102641696071
EMA_5,0.00033025303677558456,0.03302530367755845,99.89405172063827
RSI,0.00019985731945298347,0.019985731945298346,99.91403745258357
Volume,0.00019269623620709318,0.019269623620709317,99.93330707620429
MACD_Histogram,0.00017337486617709225,0.017337486617709223,99.95064456282199
EMA_10,0.0001223455928198154,0.01223455928198154,99.96287912210397
MACD_Signal,0.00010630505867576847,0.010630505867576847,99.97350962797155
MACD,6.936929898969964e-05,0.006936929898969963,99.98044655787052
HL_Range,5.284832914722342e-05,0.005284832914722342,99.98573139078525
SMA_5,3.59693010349686e-05,0.00359693010349686,99.98932832088875
Volume_MA,3.0056050733476138e-05,0.0030056050733476137,99.99233392596209
Open,1.7214580862305424e-05,0.0017214580862305424,99.99405538404832
SMA_10,1.6392706820852385e-05,0.0016392706820852385,99.99569465473041
BB_Upper,1.4732728619401447e-05,0.0014732728619401448,99.99716792759236
EMA_20,1.2566969579995352e-05,0.0012566969579995352,99.99842462455035
BB_Lower,5.592840386198295e-06,0.0005592840386198295,99.99898390858897
SMA_20,5.403080059877698e-06,0.0005403080059877698,99.99952421659495
BB_Middle,4.7578340506172304e-06,0.00047578340506172306,100.00000000000001
